Process_ID,Timestamp,Tool_Type,Wafer_ID,Chamber_Temperature,Gas_Flow_Rate,RF_Power,Etch_Depth,Rotation_Speed,Vacuum_Pressure,Stage_Alignment_Error,Vibration_Level,UV_Exposure_Intensity,Particle_Count,Defect,Join_Status
P1473,2025-01-07 06:39:00,Lithography,WAF89833,73.26206189,60.53857969,389.6600823,685.2869992,1558.586228,0.436213973,2.212349797,0.007831864,107.2913031,653,0,Joining
P1577,2025-01-07 06:40:00,Lithography,WAF74608,75.58116359,55.69940412,298.7004226,710.9174568,1284.844622,0.490540526,2.052694281,0.005542974,134.0718183,591,0,Joining
P1320,2025-01-07 06:40:00,Etching,WAF91622,69.70205758,45.14967925,357.5061315,181.6230682,1644.696761,0.470403965,2.392757628,-0.00515445,97.45311321,443,0,Joining
P1612,2025-01-07 06:40:00,Deposition,WAF90845,69.72431227,69.93869091,291.6904247,425.042985,1620.062949,0.428673363,0.682044181,0.008645466,110.6838369,814,1,Non-Joining
P1526,2025-01-07 06:40:00,Deposition,WAF75516,71.57659554,65.68836448,386.1409538,616.5732278,1313.123696,0.387124605,-0.00470934,0.008762329,129.865224,513,0,Joining
P1568,2025-01-07 06:40:00,Lithography,WAF86844,69.03871296,62.92394639,301.9999287,451.9318103,1418.30119,0.555704198,2.312687289,0.019784165,120.6690217,981,0,Joining
P1870,2025-01-07 06:40:00,Etching,WAF83292,73.58693805,54.06895757,349.6836172,495.4618649,1596.236874,0.51162335,1.467533347,0.013020468,122.0356267,393,1,Non-Joining
P1523,2025-01-07 06:40:00,Deposition,WAF78197,66.15959379,62.81166218,305.285626,507.7969695,1749.235815,0.482917132,1.805119266,0.00935136,111.7324086,790,0,Joining
P1284,2025-01-07 06:40:00,Etching,WAF20306,74.80691433,50.59346795,348.9064729,563.7512974,1159.086988,0.598478471,2.836545678,0.015767118,136.587477,993,0,Joining
P1905,2025-01-07 06:41:00,Etching,WAF11737,77.63464266,62.67395183,277.9256793,629.0226486,1480.952784,0.557963935,0.322411574,9.32e-05,108.6488215,771,0,Joining
P1657,2025-01-07 06:41:00,Deposition,WAF22326,62.70629038,52.47064325,301.5660557,572.7042769,1126.766793,0.511893923,2.458375664,0.006346942,105.5764028,796,0,Joining
P1684,2025-01-07 06:41:00,Lithography,WAF98901,75.65576353,45.15634066,315.2924637,507.3400132,1329.619711,0.488154051,1.980340179,0.011551944,126.7666194,181,0,Joining
P1909,2025-01-07 06:41:00,Deposition,WAF39080,67.95321572,40.24056256,376.7000439,487.045561,1504.142267,0.519328201,1.246355831,0.014109285,82.10288498,430,0,Joining
P1621,2025-01-07 06:41:00,Deposition,WAF92404,75.50404427,49.09267909,267.9670712,517.7544492,1418.52927,0.445719361,3.22112621,0.014686737,118.1033377,662,0,Joining
P1279,2025-01-07 06:41:00,Etching,WAF80889,74.74187288,48.57710835,233.1547868,588.9455402,1434.912567,0.575570571,1.030378686,0.003894116,125.2781997,896,0,Joining
P1845,2025-01-07 06:41:00,Etching,WAF42476,69.14365895,37.84788582,302.3468776,440.2112538,1593.763401,0.549253704,2.337696474,0.021879738,102.2751115,889,0,Joining
P1355,2025-01-07 06:42:00,Deposition,WAF77345,79.71800026,51.12893537,299.5247676,467.5911805,1431.198351,0.439188948,1.379377456,0.006898797,125.9863109,734,1,Non-Joining
P1728,2025-01-07 06:42:00,Etching,WAF50875,74.8248405,54.09149845,303.6860945,439.5230957,1616.456716,0.491434855,3.119123802,0.011816133,130.1532363,222,0,Joining
P1928,2025-01-07 06:42:00,Deposition,WAF80793,74.00475359,49.76235412,256.1061656,365.1968929,1638.248657,0.479009867,2.051134622,0.007942036,128.0963822,104,0,Joining
